pitching_type_key,pitching_type_name,pitching_type_id,english_name,is_missing,created_at,created_by,updated_at,updated_by
1,ストレート,1,straight,NO,2025-05-19,dbt,2025-05-19,dbt
2,ツーシーム,2,twoseams,NO,2025-05-19,dbt,2025-05-19,dbt
3,スライダー,3,slider,NO,2025-05-19,dbt,2025-05-19,dbt
4,カットボール,4,cutball,NO,2025-05-19,dbt,2025-05-19,dbt
5,カーブ,5,curve,NO,2025-05-19,dbt,2025-05-19,dbt
6,シュート,6,shoot,NO,2025-05-19,dbt,2025-05-19,dbt
7,フォーク,7,fork,NO,2025-05-19,dbt,2025-05-19,dbt
8,SFF,8,sff,NO,2025-05-19,dbt,2025-05-19,dbt
9,縦スライダー,9,verticalslider,NO,2025-05-19,dbt,2025-05-19,dbt
10,チェンジアップ,10,changeup,NO,2025-05-19,dbt,2025-05-19,dbt
11,スローボール,11,slowball,NO,2025-05-19,dbt,2025-05-19,dbt
12,パーム,12,palm,NO,2025-05-19,dbt,2025-05-19,dbt
13,ナックル,13,knuckle,NO,2025-05-19,dbt,2025-05-19,dbt
14,シンカー,14,sinker,NO,2025-05-19,dbt,2025-05-19,dbt
15,スクリュー,15,screw,NO,2025-05-19,dbt,2025-05-19,dbt
16,その他,16,other,NO,2025-05-19,dbt,2025-05-19,dbt
0,情報なし,0,nodata,YES,2025-05-19,dbt,2025-05-19,dbt
